test_name,fullkern_results,module_results,
igt@kms_addfb_basic@bad-pitch-32,SUCCESS,SUCCESS
igt@gem_ctx_create@basic,SUCCESS,SUCCESS
igt@gem_exec_create@basic,SUCCESS,SUCCESS
igt@dmabuf@all@sanitycheck,SUCCESS
igt@dmabuf@all@dma_fence,SUCCESS
igt@dmabuf@all@dma_fence_chain,SUCCESS
igt@gem_close_race@basic-threads,SUCCESS,SUCCESS
igt@core_auth@basic-auth,SUCCESS,SUCCESS
igt@debugfs_test@read_all_entries,SUCCESS,SUCCESS
igt@gem_flink_basic@basic,SUCCESS,SUCCESS
igt@kms_pipe_crc_basic@suspend-read-crc-pipe-a,SKIP,SKIP
igt@prime_self_import@basic-llseek-size,SUCCESS,SUCCESS
igt@vgem_basic@second-client,SUCCESS,SUCCESS
igt@i915_vm_bind_basic@rt_basic@bcs0,SUCCESS,SUCCESS
igt@kms_addfb_basic@tile-pitch-mismatch,SKIP,SKIP
igt@kms_psr@sprite_plane_onoff,SKIP,SKIP
igt@vgem_basic@dmabuf-mmap,SUCCESS,SUCCESS
igt@kms_addfb_basic@bad-pitch-999,SUCCESS,SUCCESS
igt@i915_pm_rpm@basic-pci-d3-state,SKIP,SKIP
igt@gem_close_race@basic-process,SUCCESS,SUCCESS
igt@kms_addfb_basic@basic-y-tiled-legacy,SKIP,SKIP
igt@gem_busy@busy@all,SUCCESS,SUCCESS
igt@kms_addfb_basic@addfb25-bad-modifier,SUCCESS,SUCCESS
igt@kms_addfb_basic@size-max,SUCCESS,SUCCESS
igt@vgem_basic@create,SUCCESS,SUCCESS
igt@kms_pipe_crc_basic@compare-crc-sanitycheck-pipe-c,SKIP,SKIP
igt@gem_exec_suspend@basic-s3@basic-s3-smem,SUCCESS,SUCCESS
igt@gem_exec_suspend@basic-s3@basic-s3-lmem0,SUCCESS,SUCCESS
igt@gem_wait@busy@all,SUCCESS,SUCCESS
igt@kms_addfb_basic@invalid-set-prop-any,SUCCESS,SUCCESS
igt@vgem_basic@mmap,SUCCESS,SUCCESS
igt@kms_addfb_basic@addfb25-y-tiled-legacy,SUCCESS,SUCCESS
igt@prime_self_import@basic-with_one_bo_two_files,SUCCESS,SUCCESS
igt@gem_flink_basic@bad-open,SUCCESS,SUCCESS
igt@kms_cursor_legacy@basic-flip-before-cursor-atomic,SKIP,SKIP
igt@kms_pipe_crc_basic@read-crc-pipe-a,SKIP,SKIP
igt@gem_mmap_gtt@basic,SKIP,SKIP
igt@gem_basic@create-fd-close,SUCCESS,SUCCESS
igt@fbdev@write,SKIP,SKIP
igt@kms_force_connector_basic@prune-stale-modes,SUCCESS,SUCCESS
igt@kms_pipe_crc_basic@nonblocking-crc-pipe-a,SKIP,SKIP
igt@vgem_basic@setversion,SUCCESS,SUCCESS
igt@kms_pipe_crc_basic@nonblocking-crc-pipe-a-frame-sequence,SKIP,SKIP
igt@fbdev@nullptr,SKIP,SKIP
igt@gem_wait@wait@all,SUCCESS,SUCCESS
igt@kms_addfb_basic@unused-pitches,SUCCESS,SUCCESS
igt@kms_chamelium@dp-edid-read,SKIP,SKIP
igt@kms_addfb_basic@unused-handle,SUCCESS,SUCCESS
igt@prime_self_import@basic-with_two_bos,SUCCESS,SUCCESS
igt@kms_addfb_basic@bad-pitch-0,SUCCESS,SUCCESS
igt@kms_flip@basic-flip-vs-modeset,SKIP,SKIP
igt@kms_addfb_basic@invalid-get-prop,SUCCESS,SUCCESS
igt@kms_pipe_crc_basic@hang-read-crc-pipe-a,SKIP,SKIP
igt@vgem_basic@dmabuf-export,SUCCESS,SUCCESS
igt@kms_addfb_basic@bad-pitch-128,SUCCESS,SUCCESS
igt@i915_hangman@engine-reset@rcs0,SUCCESS,SUCCESS
igt@i915_hangman@engine-reset@bcs0,SUCCESS,SUCCESS
igt@i915_hangman@engine-reset@vcs0,SUCCESS,SUCCESS
igt@i915_hangman@engine-reset@vcs1,SUCCESS,SUCCESS
igt@i915_hangman@engine-reset@vecs0,SUCCESS,SUCCESS
igt@kms_addfb_basic@small-bo,SUCCESS,SUCCESS
igt@kms_force_connector_basic@force-connector-state,SUCCESS,SUCCESS
igt@kms_chamelium@common-hpd-after-suspend,SKIP,SKIP
igt@kms_cursor_legacy@basic-flip-after-cursor-varying-size,SKIP,SKIP
igt@gem_ctx_exec@basic,SUCCESS,SUCCESS
igt@vgem_basic@dmabuf-fence,SUCCESS,SUCCESS
igt@kms_addfb_basic@addfb25-x-tiled-legacy,SKIP,SKIP
igt@kms_chamelium@hdmi-crc-fast,SKIP,SKIP
igt@kms_addfb_basic@bad-pitch-1024,SUCCESS,SUCCESS
igt@kms_addfb_basic@addfb25-modifier-no-flag,SUCCESS,SUCCESS
igt@prime_self_import@basic-with_one_bo,SUCCESS,SUCCESS
igt@gem_tiled_fence_blits@basic,SKIP,SKIP
igt@prime_vgem@basic-read,SKIP,SKIP
igt@kms_frontbuffer_tracking@basic,SKIP,SKIP
igt@kms_psr@primary_mmap_gtt,SKIP,SKIP
igt@gem_sync@basic-all@basic-all-smem,SUCCESS,SUCCESS
igt@gem_sync@basic-all@basic-all-lmem0,SUCCESS,SUCCESS
igt@gem_exec_gttfill@basic,,SUCCESS
igt@dmabuf@all,,SKIP
igt@i915_selftest@live,,SKIP
